Date,Open,High,Low,Close,Adjusted_Close,Volume
11/30/1981,0.083705,0.083705,0.083147,0.083147,0.064259,23968000
12/01/1981,0.083147,0.083705,0.083147,0.083147,0.064259,23385600
12/02/1981,0.083705,0.084263,0.083705,0.083705,0.06469,37564800
12/03/1981,0.083147,0.083147,0.082589,0.082589,0.063828,20428800
12/04/1981,0.084821,0.085379,0.084821,0.084821,0.065553,137155200
12/07/1981,0.085379,0.085938,0.085379,0.085379,0.065984,59292800
12/08/1981,0.084821,0.084821,0.083705,0.083705,0.06469,50624000
12/09/1981,0.084263,0.084821,0.084263,0.084263,0.065122,34272000
12/10/1981,0.084263,0.084821,0.084263,0.084263,0.065122,37408000
12/11/1981,0.084263,0.084821,0.083705,0.083705,0.06469,76092800
12/14/1981,0.082031,0.082031,0.080915,0.080915,0.062534,25244800
12/15/1981,0.083147,0.083705,0.083147,0.083147,0.064259,31315200
12/16/1981,0.087054,0.087612,0.087054,0.087054,0.067279,65452800
12/17/1981,0.094308,0.094866,0.094308,0.094308,0.072885,51452800
12/18/1981,0.102121,0.102679,0.102121,0.102121,0.078923,71724800
12/21/1981,0.098214,0.098214,0.097656,0.097656,0.075472,56403200
12/22/1981,0.09933,0.099888,0.09933,0.09933,0.076766,53827200
12/23/1981,0.097656,0.097656,0.097098,0.097098,0.075041,28896000
12/24/1981,0.097656,0.098214,0.097656,0.097656,0.075472,28918400
12/28/1981,0.094308,0.094308,0.093192,0.093192,0.072022,36579200
12/29/1981,0.094866,0.095982,0.094866,0.094866,0.073316,24236800
12/30/1981,0.098772,0.09933,0.098772,0.098772,0.076335,32188800
12/31/1981,0.098772,0.09933,0.098772,0.098772,0.076335,54656000
01/04/1982,0.098772,0.098772,0.098214,0.098214,0.075903,71254400
01/05/1982,0.094308,0.094308,0.093192,0.093192,0.072022,35840000
01/06/1982,0.092634,0.092634,0.092076,0.092076,0.07116,66080000
01/07/1982,0.085938,0.085938,0.084821,0.084821,0.065553,70044800
